ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,ilce,isi_yalitim,isicam,isinma_tipi,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,mahalle,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yakit_tipi,yangin_merdiveni,yapi_tipi,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
0,119,0,1,0,1,0,0,1,2,0,0,10,0,150,5,0,1,0,0,1,0,0,0,5542,1,0,0,1,False,0,0,0,0,0,0,0,0,0,1,79,pursaklar,1,0,kombi,0,0,0,0,0,0,7,3608,0,1,0,0,yunus emre,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,150,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,67,0,0,0,1,0,0,1,0,0,1,dogalgaz,0,betonarme,0,0,0,0,0,0,0,439000
0,1400,0,0,0,1,0,1,0,2,0,1,5,0,140,4,0,1,0,0,1,0,0,1,5542,0,0,0,0,True,0,0,0,0,1,0,0,0,0,1,70,silifke,0,0,klima,0,0,1,0,1,0,12,15000,1,0,0,0,atakent,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,135,2,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,108,1,0,0,1,0,0,0,0,0,0,elektrik,0,betonarme,0,0,1,0,1,1,0,310000
0,75,0,0,0,1,0,0,1,2,0,0,4,0,60,4,1,0,0,0,1,0,0,0,5542,1,0,0,1,False,0,0,0,1,1,0,0,1,1,0,77,inegol,1,0,kombi,0,0,1,0,0,0,4,1800,0,1,2,0,yeni,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,30,6,1,0,1,0,1,0,0,0,1,0,1,2,0,0,0,1,0,1,0,175,1,1,1,1,0,0,0,0,0,0,dogalgaz,0,betonarme,0,0,0,0,1,1,1,619000
0,119,0,0,0,1,0,0,1,2,0,0,17,0,40,4,0,1,0,0,1,0,0,1,5542,0,0,0,1,False,0,0,1,0,0,0,0,0,0,0,80,bakirkoy,0,1,kombi,0,0,0,0,1,1,5,3608,0,0,0,0,senlikkoy,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,74,1,0,0,1,0,0,0,1,0,1,dogalgaz,0,betonarme,0,0,0,0,0,0,0,3950000
0,119,0,0,0,0,0,0,0,2,0,0,10,0,5,3,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,14,merkez,0,0,kombi,0,0,0,0,0,0,4,3608,0,1,1,0,cedit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,101,0,0,0,1,0,0,0,0,0,0,dogalgaz,0,betonarme,0,0,0,0,0,0,0,400000
0,50,0,1,0,1,0,1,1,1,0,1,0,0,90,3,0,0,0,0,1,1,0,1,5542,1,0,1,0,False,0,0,0,1,0,0,0,1,0,0,80,buyukcekmece,1,1,kombi,0,0,1,0,1,1,5,2000,0,1,0,1,ataturk,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,8,2,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,53,1,0,0,1,0,0,0,1,0,0,dogalgaz,0,betonarme,1,0,0,0,1,0,1,605000
0,119,0,1,0,1,0,0,1,1,0,0,30,0,10,8,1,1,0,0,1,0,0,0,5542,1,0,1,0,False,0,0,0,0,0,0,1,1,0,0,75,seyhan,1,1,klima,0,0,0,0,0,1,9,23000,0,1,0,0,cinarli,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,180,3,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,121,0,0,1,1,0,0,0,1,0,1,elektrik,0,betonarme,0,0,0,0,1,1,0,615000
0,119,0,0,0,0,0,0,0,1,0,0,30,0,100,2,1,0,0,0,1,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,64,karesi,0,0,kombi,0,0,0,0,0,1,4,3608,0,1,0,0,ataturk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,2,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,142,1,0,0,1,0,0,0,0,0,0,dogalgaz,0,betonarme,0,0,0,0,0,0,1,250000
1,20,0,1,0,1,0,1,1,2,0,0,4,0,150,2,0,1,0,0,1,0,0,1,5542,1,0,0,1,False,0,0,0,1,0,0,0,1,1,1,64,edremit,1,1,merkezi,0,0,1,1,0,1,4,1450,0,1,0,1,akcay,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,110,3,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,53,1,1,0,1,0,0,0,1,0,1,akaryakit,0,betonarme,0,0,0,1,1,1,1,595000
0,100,1,1,0,1,0,0,1,1,0,0,0,0,70,1,0,0,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,1,1,0,0,0,0,1,1,80,maltepe,1,1,kombi,0,0,1,0,0,1,5,1200,0,1,0,0,cevizli,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,55,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,4,1,0,1,1,0,0,0,1,0,1,dogalgaz,1,betonarme,1,0,0,0,0,1,1,400000
0,119,0,1,0,1,0,0,1,1,0,0,2,0,115,0,0,1,0,0,1,0,0,0,5542,1,0,0,1,False,0,0,1,1,0,0,0,0,0,0,78,karsiyaka,1,1,kombi,0,0,1,0,0,1,5,2500,0,1,1,1,semikler,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,100,3,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,102,1,0,0,1,0,0,0,1,0,1,dogalgaz,0,betonarme,0,0,0,1,1,0,0,530000
