,Unnamed: 0,ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,ilce,isi_yalitim,isicam,isinma_tipi,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,mahalle,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yakit_tipi,yangin_merdiveni,yapi_tipi,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
41875,41875,1,30,0,1,0,0,1,0,1,1,0,0,32,1,90,4,0,1,0,0,1,1,0,0,5542,1,0,0,0,False,0,0,0,0,0,0,1,0,1,0,80,fatih,1,1,kombi,0,0,1,1,0,0,4,2500,0,1,0,1,sehremini,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,85,2,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,29,0,1,0,1,1,0,0,1,1,0,dogalgaz,0,betonarme,0,0,0,0,0,1,1,550000
41876,41876,0,119,0,0,0,1,0,0,1,2,0,0,0,0,165,4,0,0,0,0,1,0,0,0,5542,1,0,0,1,False,0,0,0,1,0,0,0,1,0,0,47,merkez,1,1,kombi,0,0,1,0,1,1,5,3608,0,1,0,0,kasikcibaglari,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,145,3,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,127,0,0,0,1,0,0,0,1,0,1,dogalgaz,0,betonarme,1,0,1,0,1,1,1,510000
41877,41877,0,119,0,0,0,0,0,1,0,2,0,0,0,0,130,0,0,1,0,0,1,0,0,0,5542,1,0,0,1,False,0,0,0,0,0,0,0,1,0,1,57,datca,0,1,klima,0,0,1,0,0,1,2,3608,0,1,0,0,iskele,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,3,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,81,0,0,0,1,0,0,1,1,0,0,elektrik,0,betonarme,1,0,0,0,1,1,1,850000
41878,41878,0,119,0,1,0,1,0,0,1,1,0,0,4,0,126,1,0,0,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,1,1,0,0,0,0,0,0,67,salihli,1,0,kombi,0,0,1,0,0,1,5,1250,0,1,1,0,yoruk,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,120,3,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,70,1,0,0,1,0,0,0,1,0,1,dogalgaz,0,betonarme,0,0,0,0,0,0,1,455000
41879,41879,1,150,0,1,0,1,0,0,1,2,0,0,4,0,130,6,1,1,0,0,0,1,0,1,5542,1,0,0,1,False,0,0,1,1,0,0,0,0,0,0,80,beyoglu,1,1,kombi,0,0,1,0,1,0,6,15000,1,1,2,0,purtelas hasan efendi,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,110,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,56,0,0,0,1,0,0,0,1,1,0,dogalgaz,0,betonarme,1,0,0,1,1,1,1,3500000
41880,41880,0,20,0,0,0,0,0,0,1,1,0,0,50,0,65,5,0,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,0,0,0,0,0,1,0,1,80,beyoglu,0,1,kombi,0,0,1,0,0,0,66,3608,0,1,2,1,firuzaga,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,50,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,23,0,0,0,1,0,0,0,1,0,0,dogalgaz,0,betonarme,0,0,0,0,1,0,0,650000
41881,41881,0,119,0,0,1,1,0,0,1,1,0,1,3,0,85,1,0,1,0,0,1,0,0,0,5542,1,0,0,0,True,0,0,0,0,0,0,0,0,1,0,64,ayvalik,1,1,isitma yok,0,0,1,0,0,0,4,1200,0,1,1,0,kucukkoy,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,80,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,162,0,1,0,1,0,0,0,1,0,0,elektrik,0,betonarme,0,0,0,0,1,0,1,415000
41882,41882,1,119,1,1,1,1,0,1,1,2,1,1,8,0,130,1,0,0,1,1,1,0,0,0,5542,1,0,0,0,False,1,0,0,0,1,0,0,0,1,0,80,esenyurt,1,0,merkezi,0,1,0,0,1,0,10,2000,0,1,0,0,cumhuriyet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,21,0,0,0,1,0,0,0,0,0,0,dogalgaz,0,betonarme,0,0,0,0,0,0,0,350000
41883,41883,0,119,0,0,0,1,0,0,0,1,0,0,0,0,83,0,0,1,0,0,0,0,0,1,5542,0,0,1,0,False,0,0,0,0,0,0,0,0,1,0,80,maltepe,1,1,kombi,0,0,0,0,0,1,4,3608,0,1,0,0,idealtepe,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,70,2,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,dogalgaz,0,betonarme,1,0,0,0,0,0,1,680000
41884,41884,0,119,0,0,0,0,0,0,0,2,0,0,2,0,130,3,0,0,0,0,0,0,0,0,5542,0,0,0,0,True,0,0,0,0,0,0,0,0,0,0,80,avcilar,0,0,merkezi,0,0,0,0,0,0,9,6000,0,1,1,0,universite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,15,0,0,0,1,0,0,0,0,0,0,dogalgaz,0,betonarme,0,0,0,0,0,0,0,1175000
